	Player,	Cost,	Sel,	Form,	PTS
	"
Tarkowski
BURDEF"	4.9	0.9%	4.0	38
	"
Llorente
LEEDEF"	4.5	0.5%	2.8	38
	"
Hanley
NORDEF"	4.4	0.2%	4.0	38
	"
Targett
AVLDEF"	4.7	1.9%	3.6	37
	"
Westwood
BURMID"	5.3	0.3%	2.2	37
	"
Edouard
CRYFWD"	6.4	1.8%	1.4	37
	"
Maguire
MUNDEF"	5.4	5.1%	2.2	37
	"
McNeil
BURMID"	5.7	0.2%	2.5	36
	"
Ward
CRYDEF"	4.5	0.2%	0.8	36
	"
Lucas Moura
TOTMID"	6.4	1.3%	5.7	36
	"
Moutinho
WOLMID"	4.9	0.5%	2.4	36
	"
Janelt
BREMID"	5.0	0.1%	2.0	35
	"
Lukaku
CHEFWD"	11.5	9.7%	0.8	35
	"
Firmino
LIVFWD"	8.7	2.1%	0.0	35
	7.4	7.0%	0.0	35	
	"
Salisu
SOUDEF"	4.5	0.2%	0.6	35
	"
Broja
SOUFWD"	5.1	2.6%	2.8	35
	"
Douglas Luiz
AVLMID"	4.5	2.4%	1.8	34
	"
Raya
BREGKP"	4.4	4.1%	0.0	34
	"
Mee
BURDEF"	4.8	0.5%	4.2	34
	"
Lindelöf
MUNDEF"	4.8	0.7%	3.0	34
	"
Veltman
BHADEF"	4.3	0.7%	2.5	33
	"
McArthur
CRYMID"	4.4	1.9%	0.0	33
	"
Fabinho
LIVMID"	5.4	0.7%	2.4	33
	"
Mahrez
MCIMID"	8.6	2.3%	1.8	33
	"
Joelinton
NEWFWD"	5.8	0.4%	3.4	33
	"
Aarons
NORDEF"	4.3	1.2%	3.2	33
	"
Kane
TOTFWD"	12.1	5.7%	2.0	33
	"
Partey
ARSMID"	5.0	0.3%	2.4	32
	"
Söyüncü
LEIDEF"	4.9	2.0%	1.8	32
	"
Zouma
WHUDEF"	5.4	1.5%	1.2	32
	"
Traoré
WOLMID"	5.7	1.5%	2.0	32
	"
Neves
WOLMID"	5.3	0.9%	1.4	32
	"
Groß
BHAMID"	5.8	0.3%	1.5	31
	"
De Bruyne
MCIMID"	11.8	1.6%	0.4	31
	"
Sancho
MUNMID"	8.9	2.8%	3.8	31
	"
McLean
NORMID"	4.9	0.1%	2.2	31
	"
Coufal
WHUDEF"	4.7	4.0%	2.4	31
	"
Martinelli
ARSMID"	5.2	0.4%	4.0	30
	"
Ramsey
AVLMID"	4.5	0.8%	2.0	30
	"
Moder
BHAMID"	4.5	0.7%	2.8	30
	"
Ayew
CRYFWD"	5.8	0.6%	2.2	30
	"
Iwobi
EVEMID"	5.8	0.2%	1.0	30
	"
Tsimikas
LIVDEF"	3.8	11.4%	1.2	30
	5.0	0.2%	0.0	30	
	"
Elyounoussi
SOUMID"	5.5	0.1%	0.6	30
	"
Sissoko
WATMID"	4.5	2.7%	2.8	30
	"
Tavares
ARSDEF"	4.3	0.9%	2.4	29
	"
Young
AVLDEF"	4.7	0.6%	3.6	29
	"
Gudmundsson
BURMID"	5.4	0.1%	2.5	29
	"
Rodrigo
LEEFWD"	6.3	1.2%	0.6	29
	"
Thiago
LIVMID"	5.3	0.7%	3.2	29
	"
Walker-Peters
SOUDEF"	4.8	0.5%	1.0	29
	"
Davies
TOTDEF"	4.4	1.3%	7.7	29
	"
Cucho
WATFWD"	5.0	1.5%	2.2	29
	"
Lanzini
WHUMID"	5.8	0.3%	4.2	29
	"
Marçal
WOLDEF"	4.2	1.5%	0.0	29
	"
Loftus-Cheek
CHEMID"	5.4	0.2%	1.8	28
	"
Hudson-Odoi
CHEMID"	5.3	0.7%	1.4	28
	"
Coleman
EVEDEF"	4.9	0.4%	1.2	28
	"
Iheanacho
LEIFWD"	6.9	2.1%	0.4	28
	"
Daka
LEIFWD"	7.1	1.0%	3.2	28
	"
Wan-Bissaka
MUNDEF"	5.1	3.6%	0.4	28
	"
Rashford
MUNMID"	9.4	1.1%	2.6	28
	"
Romeu
SOUMID"	4.5	0.5%	1.2	28
	"
Foster
WATGKP"	4.1	21.0%	1.0	28
	"
Johnson
WHUDEF"	4.0	4.2%	1.0	28
	"
Bailey
AVLMID"	6.4	0.5%	1.0	27
	"
Onyeka
BREMID"	4.9	0.1%	2.2	27
	"
Lallana
BHAMID"	5.3	0.2%	1.0	27
	"
Mac Allister
BHAMID"	5.3	0.3%	0.0	27
	"
Digne
EVEDEF"	5.0	4.8%	0.6	27
	"
Soumaré
LEIMID"	4.8	0.1%	1.6	27
	"
Klich
LEEMID"	5.3	0.4%	0.4	27
	"
Willock
NEWMID"	5.7	0.5%	2.4	27
	"
Murphy
NEWMID"	4.8	0.4%	1.0	27
	"
Bissouma
BHAMID"	4.4	9.2%	2.0	26
	"
Brownhill
BURMID"	4.4	3.6%	2.0	26
	"
Ndidi
LEIMID"	4.8	1.0%	2.6	26
	"
Roberts
LEEMID"	4.8	0.1%	3.2	26
	"
Harrison
LEEMID"	5.6	0.9%	2.2	26
	"
Torres
MCIMID"	6.7	2.2%	0.0	26
	"
Shaw
MUNDEF"	5.1	13.7%	0.2	26
	"
Varane
MUNDEF"	5.5	1.8%	0.0	26
	"
Manquillo
NEWDEF"	4.0	7.9%	1.2	26
	"
Hayden
NEWMID"	4.5	0.4%	0.4	26
	"
Normann
NORMID"	4.5	0.3%	0.4	26
	"
Lacazette
ARSFWD"	8.3	1.2%	2.6	25
	"
March
BHAMID"	5.3	0.1%	1.5	25
	"
Kanté
CHEMID"	4.9	2.2%	1.8	25
	"
Phillips
LEEMID"	4.8	1.2%	1.2	25
	"
Bamford
LEEFWD"	7.7	3.3%	0.8	25
	"
McTominay
MUNMID"	5.4	0.3%	1.4	25
	"
Rashica
NORMID"	5.2	0.1%	1.0	25
	"
Skipp
TOTMID"	4.5	0.9%	2.0	25
	"
Kucka
WATMID"	5.5	0.1%	0.8	25
	"
Dawson
WHUDEF"	4.9	0.3%	2.2	25
	"
Ajer
BREDEF"	4.4	0.5%	0.0	24
	"
Lamptey
BHADEF"	4.5	1.8%	5.0	24
	"
Ziyech
CHEMID"	7.3	0.5%	3.4	24
	"
Almirón
NEWMID"	5.1	0.2%	1.4	24
	"
Sargent
NORFWD"	5.4	0.1%	1.6	24
	"
Trincão
WOLMID"	5.7	0.3%	1.2	24
	"
Sambi Lokonga
ARSMID"	4.8	0.2%	1.0	23
	5.2	0.4%	1.0	23	
	"
Olise
CRYMID"	5.4	0.1%	0.8	23
	"
Godfrey
EVEDEF"	4.8	0.5%	0.8	23
	"
Calvert-Lewin
EVEFWD"	7.9	2.4%	0.0	23
	"
S.Longstaff
NEWMID"	4.5	0.6%	0.2	23
	"
Gibson
NORDEF"	4.4	0.1%	2.0	23
	"
Tanganga
TOTDEF"	4.3	1.1%	3.0	23
	"
Emerson Royal
TOTDEF"	4.9	0.5%	3.0	23
	"
Werner
CHEFWD"	8.6	1.7%	0.8	22
	"
Schlupp
CRYMID"	5.4	0.0%	1.4	22
	"
Castagne
LEIDEF"	5.3	0.6%	1.8	22
	"
Thomas
LEIDEF"	4.3	0.5%	2.4	22
	"
Chamberlain
LIVMID"	5.8	0.1%	1.4	22
	"
Giannoulis
NORDEF"	4.4	0.1%	1.2	22
	"
Lees-Melou
NORMID"	4.8	0.1%	0.6	22
	"
Cleverley
WATMID"	4.8	0.1%	1.8	22
	"
Pépé
ARSMID"	6.9	0.8%	0.2	21
	"
Fernández
BREGKP"	4.5	0.8%	3.6	21
	"
Jensen
BREMID"	4.9	0.1%	0.8	21
	"
Wissa
BREMID"	5.9	0.1%	1.0	21
	"
Rondón
EVEFWD"	6.0	0.1%	2.0	21
	"
Pereira
LEIDEF"	5.2	1.6%	0.0	21
	"
Lookman
LEIMID"	6.0	0.1%	2.2	21
	"
Jones
LIVMID"	5.0	0.1%	0.0	21
	"
Gilmour
NORMID"	4.4	4.7%	2.4	21
	"
Dele
TOTMID"	6.3	1.1%	0.3	21
	"
João Pedro
WATFWD"	5.4	0.3%	2.6	21
	"
Baptiste
BREMID"	4.9	0.0%	2.8	20
	"
Ayling
LEEDEF"	4.3	3.0%	1.6	20
	5.3	0.1%	1.6	20	
	"
Masuaku
WHUDEF"	4.4	0.1%	3.8	20
	"
Dendoncker
WOLMID"	4.8	0.1%	1.4	20
	"
Podence
WOLMID"	5.5	0.1%	1.4	20
	"
El Ghazi
AVLMID"	5.6	0.4%	1.0	19
	"
Pulisic
CHEMID"	7.9	0.6%	2.0	19
	"
Evans
LEIDEF"	5.4	0.3%	2.6	19
	"
Konaté
LIVDEF"	5.1	1.1%	1.2	19
	"
Stones
MCIDEF"	5.3	2.8%	1.2	19
	"
Fernandinho
MCIMID"	4.8	0.4%	2.0	19
	"
Matic
MUNMID"	4.4	0.3%	0.8	19
	"
Lingard
MUNMID"	6.8	1.0%	0.6	19
	"
Diallo
SOUMID"	4.5	0.2%	0.8	19
	"
Bergwijn
TOTMID"	5.9	0.3%	0.7	19
	"
Ghoddos
BREMID"	5.3	0.0%	0.8	18
	"
Mwepu
BHAMID"	5.9	0.1%	0.5	18
	"
Gordon
EVEMID"	4.5	0.1%	1.6	18
	"
Milner
LIVMID"	4.9	0.1%	0.8	18
	"
Lascelles
NEWDEF"	4.4	0.2%	2.4	18
	"
Perraud
SOUDEF"	4.8	0.1%	0.0	18
